Q,A,label
오픈뱅킹 이용시간은 어떻게 되나요?,오픈뱅킹 서비스는 연중무휴로 24시간 이용이 가능합니다. 금융사 또는 금융결제원의 서비스 점검에 따라 일시적으로 중단 될 수 있습니다.,0
애큐온저축은행의 인증서 부분은 어떻게 되나요?,모바일뱅킹은 사설인증서 기반 패턴/간편비밀번호/지문/안면/홍채/공동인증서/금융인증서 사용 가능합니다.,0
공동인증서 외 로그인?,모바일뱅킹은 사설인증서 기반 패턴/간편비밀번호/지문/안면/홍채/공동인증서/금융인증서 사용 가능합니다.,0
공동인증서외 로그인?,모바일뱅킹은 사설인증서 기반 패턴/간편비밀번호/지문/안면/홍채/공동인증서/금융인증서 사용 가능합니다.,0
사설인증서 부분은 어떻게 되나요?,모바일뱅킹은 사설인증서 기반 패턴/간편비밀번호/지문/안면/홍채/공동인증서/금융인증서 사용 가능합니다.,0
현재 사용하던 공동인증서가 만료되면 어떡하나요?,신규 공동인증서를 발급 받은 후 기존과 동일하게 사용하시면 됩니다. 갱신 재발급 신규발급 또한 기존과 동일하게 이용가능합니다.,0
공동인증서가 만료되면 어떡하나요?,신규 공동인증서를 발급 받은 후 기존과 동일하게 사용하시면 됩니다. 갱신 재발급 신규발급 또한 기존과 동일하게 이용가능합니다.,0
사설인증서가 만료되면 어떡하나요?,사설인증서를 재발급 받은 후 기존과 동일하게 사용하시면 됩니다. 갱신 재발급 신규발급 또한 기존과 동일하게 이용가능합니다.,0
모바일앱 회원 탈퇴를 하고싶어요,모바일앱 회원탈퇴시 애큐온저축은행 모바일 뱅킹 이용은 불가합니다. 모바일뱅킹 이용을 하시려면 재가입 하셔야 합니다.,0
회원 탈퇴를 하고싶어요,모바일앱 회원탈퇴시 애큐온저축은행 모바일 뱅킹 이용은 불가합니다. 모바일뱅킹 이용을 하시려면 재가입 하셔야 합니다.,0
회원 탈퇴,모바일앱 회원탈퇴시 애큐온저축은행 모바일 뱅킹 이용은 불가합니다. 모바일뱅킹 이용을 하시려면 재가입 하셔야 합니다.,0
애큐온멤버십플러스는 무엇인가요?,애큐온멤버십플러스란 멤버십 고객에게 우대금리 등 금융상품 혜택과 오늘의 운세와 게임서비스 등을 제공하는 애큐온저축은행의 멤버십 서비스입니다.,0
애큐온멤버십플러스,애큐온멤버십플러스란 멤버십 고객에게 우대금리 등 금융상품 혜택과 오늘의 운세와 게임서비스 등을 제공하는 애큐온저축은행의 멤버십 서비스입니다.,0
멤버십플러스는 무엇인가요?,애큐온멤버십플러스란 멤버십 고객에게 우대금리 등 금융상품 혜택과 오늘의 운세와 게임서비스 등을 제공하는 애큐온저축은행의 멤버십 서비스입니다.,0
휴대폰이체,상대방계좌를 모르더라도 휴대폰번호로 이체를 하는 서비스입니다. 받는분이 본인 계좌를 직접 입력하면 입력한 은행으로 입금 됩니다.,0
비과세종합저축 이란?,가입대상 만 65세 이상인 개인 (2015년부터 매년 1세씩 상향조정하여 2019년에는 만 65세 적용).,0
이체한도는 어디서 변경하나요?,모바일앱 이체한도관리 메뉴에서 보안등급 별로 이체한도 변경이 가능합니다. 전체메뉴 > 조회이체 > 이체한도관리.,0
이체한도 변경 위치?,모바일앱 이체한도관리 메뉴에서 보안등급 별로 이체한도 변경이 가능합니다. 전체메뉴 > 조회이체 > 이체한도관리.,0
OTP가 없는데 계좌개설이 가능?,네. 가능합니다. 모바일 간편보안을 가입하시면 보안매체(OTP/M-OTP/보안카드)없이 계좌개설 및 모바일뱅킹을 이용할 수 있습니다. 전체메뉴 > 인증/보안 > 모바일간편보안 가입/해지.,0
M-OTP가 없는데 계좌개설이 가능?,네. 가능합니다. 모바일 간편보안을 가입하시면 보안매체(OTP/M-OTP/보안카드)없이 계좌개설 및 모바일뱅킹을 이용할 수 있습니다. 전체메뉴 > 인증/보안 > 모바일간편보안 가입/해지.,0
보안카드가 없는데 계좌개설이 가능?,네. 가능합니다. 모바일 간편보안을 가입하시면 보안매체(OTP/M-OTP/보안카드)없이 계좌개설 및 모바일뱅킹을 이용할 수 있습니다. 전체메뉴 > 인증/보안 > 모바일간편보안 가입/해지.,0
보안등급별 이체한도를 알고싶어요,1등급(OTP) : 1억/5억(1회/1일) 2등급(보안카드/M-OTP/모바일간편보안) + (SMS통지) : 5천/2억5천(1회/1일) 3등급(보안카드/M-OTP/모바일간편보안) : 1천/5천(1회/1일).,0
보안등급 이체한도,1등급(OTP) : 1억/5억(1회/1일) 2등급(보안카드/M-OTP/모바일간편보안) + (SMS통지) : 5천/2억5천(1회/1일) 3등급(보안카드/M-OTP/모바일간편보안) : 1천/5천(1회/1일).,0
만기 자동해지 하고 싶어요.,자동재연장/만기해지 메뉴에서 직접 설정할 수 있습니다. 전체메뉴 > MY > 예적금계좌 관리 > 자동재연장/만기해지.,0
만기자동해지,자동재연장/만기해지 메뉴에서 직접 설정할 수 있습니다. 전체메뉴 > MY > 예적금계좌 관리 > 자동재연장/만기해지.,0
만기자동재연장,자동재연장/만기해지 메뉴에서 직접 설정할 수 있습니다. 전체메뉴 > MY > 예적금계좌 관리 > 자동재연장/만기해지.,0
만기 자동재연장 하고 싶어요.,자동재연장/만기해지 메뉴에서 직접 설정할 수 있습니다. 전체메뉴 > MY > 예적금계좌 관리 > 자동재연장/만기해지.,0
ATM 출금이란 무엇인가요?,카드나 통장 없이 모바일앱에서 발급한 인증번호를 통해 ATM기기로 인출하는 서비스 입니다. 전체메뉴 > 조회이체 > ATM출금.,0
ATM출금,카드나 통장 없이 모바일앱에서 발급한 인증번호를 통해 ATM기기로 인출하는 서비스 입니다. 전체메뉴 > 조회이체 > ATM출금.,0
이체 수수료는 얼마인가요?,애큐온저축은행 모바일앱을 통한 계좌 간 이체 거래시 모든 수수료는 무료입니다.,0
이체 수수료,애큐온저축은행 모바일앱을 통한 계좌 간 이체 거래시 모든 수수료는 무료입니다.,0
예약이체를 하고싶어요.,예약이체는 즉시/예약이체 메뉴에서 예약 이체 일자 및 일시를 지정하여 예약이체 설정이 가능합니다. 전체메뉴 > 조회이체 > 즉시/예약이체.,0
예약이체,예약이체는 즉시/예약이체 메뉴에서 예약 이체 일자 및 일시를 지정하여 예약이체 설정이 가능합니다. 전체메뉴 > 조회이체 > 즉시/예약이체.,0
애큐온저축은행 모바일앱 설치는 어떻게 하나요?,안드로이드 경우 Google Play 애큐온저축은행을 검색 후 설치. 아이폰의 경우 App Store 애큐온저축은행 검색 후 설치 할 수 있습니다.,0
간편이체가 무엇인가요?,사설(생체)인증으로 로그인 시 100만원 한도 까지 보안매체(OTP/M-OTP/보안카드)나 공인인증서 입력 없이 계좌 비밀번호만으로 이체가 가능한 서비스를 말합니다.,0
간편이체,사설(생체)인증으로 로그인 시 100만원 한도 까지 보안매체(OTP/M-OTP/보안카드)나 공인인증서 입력 없이 계좌 비밀번호만으로 이체가 가능한 서비스를 말합니다.,0
모바일 간편보안이 무엇인가요?,보안매체(OTP/M-OTP/보안카드)없이 모바일뱅킹을 편리하게 이용 할 수 있는 서비스 입니다. 이체한도는 1천만원(1회)/5천만원(1일)로 변경됩니다.,0
간편보안,보안매체(OTP/M-OTP/보안카드)없이 애큐온저축은행 모바일뱅킹을 편리하게 이용 할 수 있는 서비스 입니다. 이체한도는 1천만원(1회)/5천만원(1일)로 변경됩니다.,0
여러개의 스마트기기에서 동시에 이용 가능한가요?,불가합니다. 애큐온저축은행 모바일앱은 1인 1단말기 정책으로 여러 대의 스마트기기에 등록하여 사용할 수 없습니다.,0
가족명의 통장을 개설,가족명의로 예금개설시 필요서류는 아래와 같습니다.- 신청인(대리인)의 실명확인증표- 가족관계확인서류 최근3개월이내 발급받은 서류만 유효.(가족관계가 표시된 경우에 한함).,0
다른 사람의 공동인증서로 이용이 가능한가요?,불가합니다. 애큐온저축은행 모바일앱은 1인 1단말기 정책으로 기 등록된 고객 이외의 다른 사람의 공인인증서로는 거래를 할 수 없습니다.,0
모바일인증 비밀번호를 까먹었어요.,모바일인증 비밀번호를 재설정 하기 위해서는 본인확인을 위한 비대면 실명인증 진행 후 재설정 가능합니다.전체메뉴 > 인증/보안 > 모바일인증 비밀번호관리 > 비밀번호 오류해제 및 재설정.,0
모바일인증 비밀번호 변경,모바일인증 비밀번호를 재설정 하기 위해서는 본인확인을 위한 비대면 실명인증 진행 후 재설정 가능합니다.전체메뉴 > 인증/보안 > 모바일인증 비밀번호관리 > 비밀번호 오류해제 및 재설정.,0
로그인방식을 변경하고 싶어요,기존에 패턴 외에 생체정보 등록이 되어 있을 경우에는 앱 실행 후 로그인 화면에서 로그인 방식 선택을 통해 로그인 방식을 변경 할 수 있습니다.,0
정기적금을 매월 내는데 제 날짜에 납입하지 못 했습니다.,정기적금은 신규일이 매월 불입일로 자동 지정되며 납입 총 횟수를 불입하지 못한 경우에는 만기일이 되었다 하더라도 중도해지이율이 적용됩니다.,0
로그인 시 패턴을 안보이게 할 수 있나요?,네. 가능합니다. 전체메뉴 > 모바일인증서 관리 > 패턴관리 > 입력한 패턴 선 숨기기.,0
장기주택마련저축의 소득공제 대상자는 어떻게 됩니까?,장기주택마련저축의 소득공제는 2012.12.31 폐지되었습니다. 다만 종전에 소득공제 혜택을 받은 대상자는 아래와 같습니다.(가입시기에 따라 소득공제 대상자 상이).,0
거래중지계좌를 해지하고 싶어요.,모바일앱을통해 거래중지계좌 해지를 하기 위해서는 계좌 잔액 입금 및 모바일인증 후 처리 가능합니다. 전체메뉴 > MY > 예적금계좌 관리 > 거래중지계좌 거래재개/해지.,0
거래중지계좌 해지,모바일앱을통해 거래중지계좌 해지를 하기 위해서는 계좌 잔액 입금 및 모바일인증 후 처리 가능합니다. 전체메뉴 > MY > 예적금계좌 관리 > 거래중지계좌 거래재개/해지.,0
거래중지계좌를 다시 살리고싶어요.,모바일앱을통해 거래중지계좌 거래재개 하기 위해서는 계좌 잔액 입금 및 모바일인증 후 처리 가능합니다. 전체메뉴 > MY > 예적금계좌 관리 > 거래중지계좌 거래재개/해지.,0
거래중지계좌 재개,모바일앱을통해 거래중지계좌 거래재개 하기 위해서는 계좌 잔액 입금 및 모바일인증 후 처리 가능합니다. 전체메뉴 > MY > 예적금계좌 관리 > 거래중지계좌 거래재개/해지.,0
예금잔액증명서 발급 후 입출금거래가 가능한가요?,예금잔액증명서를 당일자로 발행한 경우에는 증명서발급 당일은 입출금거래를 하실 수 없습니다. 다만 지정날짜가 과거인 경우는 당일거래 가능합니다.,0
모바일앱 각 메뉴 이용시간은 어떻게되나요?,모바일앱 이용시간은 모바일뱅킹 이용시간 메뉴에서 각 메뉴별 상세하게 확인 가능합니다. 전체메뉴 > 고객센터 > 이용안내 > 이용시간.,0
비대면 계좌 개설은 어떻게하나요?,모바일앱(비대면)으로 입출금 계좌를 개설하기 위해서는 간편 회원가입 후 '쉽고빠른 계좌개설' 메뉴를 통해 가입 가능합니다. 가입 시 신분증촬영 및 타행계좌인증이 필요합니다.,0
비대면 계좌 개설,모바일앱(비대면)으로 입출금 계좌를 개설하기 위해서는 간편 회원가입 후 '쉽고빠른 계좌개설' 메뉴를 통해 가입 가능합니다. 가입 시 신분증촬영 및 타행계좌인증이 필요합니다.,0
비대면계좌개설,모바일앱(비대면)으로 입출금 계좌를 개설하기 위해서는 간편 회원가입 후 '쉽고빠른 계좌개설' 메뉴를 통해 가입 가능합니다. 가입 시 신분증촬영 및 타행계좌인증이 필요합니다.,0
거래중지계좌란 무엇인가요?,입출금이 자유로운 예금 중 일정 기간동안 거래를 하지 않을 경우 거래중지계좌로 전환됩니다.,0
비대면계좌 이체한도 제한이 무엇인가요?,비대면으로 개설한 입출금 계좌는 금융사고 방지를 위해 출금 및 이체 한도가 제한됩니다. (1회 300만원/1일 300만원).,0
비대면 이체한도,비대면으로 개설한 입출금 계좌는 금융사고 방지를 위해 출금 및 이체 한도가 제한됩니다. (1회 300만원/1일 300만원).,0
비대면이체한도 해제,이체한도 제한을 해제 하기위해서는 모바일앱을 통한 서류제출 또는 가까운 영업점을 방문하여 진행 할 수 있습니다.,0
계좌이체한도 해제,이체한도 제한을 해제 하기위해서는 모바일앱을 통한 서류제출 또는 가까운 영업점을 방문하여 진행 할 수 있습니다.,0
세금우대 상품에는 무엇이 있나요?,현재 세금우대의 가입기한이 2014년 12월 31일 종료되었습니다. 세금우대 상품은 조세특례제한법에 의거 발생한 이자액에 대하여 저율의 세율이 적용되는 상품입니다.,0
세금우대상품,※ 현재 세금우대의 가입기한이 2014년 12월 31일 종료되었습니다. 세금우대 상품은 조세특례제한법에 의거 발생한 이자액에 대하여 저율의 세율이 적용되는 상품입니다.,0
예금자보호법에 의해 보호되는 예금상품은 무엇인가요?,모든 예/적금 상품은 예금자 보호법에 의하여 보호되는 상품이며 예금자보호대상 금융상품은 원금과 소정의 이자를 합하여 예금보험공사가 1인당 "최고5천만원까지" 보호 합니다.,0
예금자보호 예금상품,모든 예/적금 상품은 예금자 보호법에 의하여 보호되는 상품이며 예금자보호대상 금융상품은 원금과 소정의 이자를 합하여 예금보험공사가 1인당 "최고5천만원까지" 보호 합니다.,0
사망하신 분의 금융 거래내역을 조회할 수 있나요?,상속인이 피상속자(사망자)의 예금/대출 등 금융거래사실을 조회/확인하기 위해 상속자가 각종 구비서류를 지참하여 영업점방문을 부탁드립니다.,0
가족명의의 계좌 조회가 가능한가요?,금융실명거래 및 비밀보장에 관한 법률에 의거 예금주의 동의없이는 금융정보를 타인에게 제공할 수 없습니다.,0
세금 혜택은 있는 상품인가요?,비과세 종합저축으로 가입이 가능한 상품입니다.※ 2015년 1월 1일 부터 비과세 생계형저축 명칭이 비과세 종합저축으로 명칭이 바뀌었습니다.,0
세금혜택 상품,비과세 종합저축으로 가입이 가능한 상품입니다.※ 2015년 1월 1일 부터 비과세 생계형저축 명칭이 비과세 종합저축으로 명칭이 바뀌었습니다.,0
통장 분실 했어요.,당행 고객센터 1588-6161을 통해 유선으로 사고분실신고를 하시기 바랍니다. 신분증을 재발급 받으셔서 영업점 내방 후 서면으로 신고 > 통장이나 현금카드를 재발급 받으시길 바랍니다.,0
도장 분실 했어요.,당행 고객센터 1588-6161을 통해 유선으로 사고분실신고를 하시기 바랍니다. 신분증을 재발급 받으셔서 영업점 내방 후 서면으로 신고 > 통장이나 현금카드를 재발급 받으시길 바랍니다.,0
신분증 분실 했어요.,당행 고객센터 1588-6161을 통해 유선으로 사고분실신고를 하시기 바랍니다. 신분증을 재발급 받으셔서 영업점 내방 후 서면으로 신고 > 통장이나 현금카드를 재발급 받으시길 바랍니다.,0
현금카드 분실 했어요.,당행 고객센터 1588-6161을 통해 유선으로 사고분실신고를 하시기 바랍니다. 신분증을 재발급 받으셔서 영업점 내방 후 서면으로 신고 > 통장이나 현금카드를 재발급 받으시길 바랍니다.,0
예/적금 담보대출에 대해 알려주세요.,기존의 예금 및 적금상품에 가입하신 분들에 한하여 본인의 예적금을 담보로 하는 대출입니다. 담보 예적금의 95% 범위 이내에서 가능하며 이율은 담보 예적금의 이율에 2%가 추가됩니다.,0
예적금담보대출,기존의 예금 및 적금상품에 가입하신 분들에 한하여 본인의 예적금을 담보로 하는 대출입니다. 담보 예적금의 95% 범위 이내에서 가능하며 이율은 담보 예적금의 이율에 2%가 추가됩니다.,0
예금담보대출,기존의 예금 및 적금상품에 가입하신 분들에 한하여 본인의 예적금을 담보로 하는 대출입니다. 담보 예적금의 95% 범위 이내에서 가능하며 이율은 담보 예적금의 이율에 2%가 추가됩니다.,0
적금담보대출,기존의 예금 및 적금상품에 가입하신 분들에 한하여 본인의 예적금을 담보로 하는 대출입니다. 담보 예적금의 95% 범위 이내에서 가능하며 이율은 담보 예적금의 이율에 2%가 추가됩니다.,0
주택 담보대출에 대해 알려주세요.,담보제공 부동산(주택)에 대한 평가를 실시한 후 대출가능 금액을 산정하게 됩니다. 기타 자세한 부분은 홈페이지의 대출상품 내용을 참고하시거나 가까운 지점에 문의하시기 바랍니다.,0
주택담보대출,담보제공 부동산(주택)에 대한 평가를 실시한 후 대출가능 금액을 산정하게 됩니다. 기타 자세한 부분은 홈페이지의 대출상품 내용을 참고하시거나 가까운 지점에 문의하시기 바랍니다.,0
타기관 공인인증서 등록은 어떻게 합니까?,타금융사에서 기발급된 공동인증서를 당행에서 이용하기 위해서는 타기관공동인증서 등록이 필요합니다. 타기관공동인증서 등록 메뉴에서 등록하시기 바랍니다.,0
타기관 공인인증서 등록,타금융사에서 기발급된 공동인증서를 당행에서 이용하기 위해서는 타기관공동인증서 등록이 필요합니다. 타기관공동인증서 등록 메뉴에서 등록하시기 바랍니다.,0
타기관 공동인증서 등록은 어떻게 합니까?,타금융사에서 기발급된 공동인증서를 당행에서 이용하기 위해서는 타기관공동인증서 등록이 필요합니다. 타기관공동인증서 등록 메뉴에서 등록하시기 바랍니다.,0
타기관 공동인증서 등록,타금융사에서 기발급된 공동인증서를 당행에서 이용하기 위해서는 타기관공동인증서 등록이 필요합니다. 타기관공동인증서 등록 메뉴에서 등록하시기 바랍니다.,0
공동인증서,공동인증서는 개별 은행이 발행한 인증서(사설 인증서)가 아닌 정보통신부 장관으로부터 지정을 받아 공인인증 업무를 제공하는 "인증기관"이 발급한 인증서를 말합니다.,0
공동인증서란 무엇인가요?,공동인증서는 개별 은행이 발행한 인증서(사설 인증서)가 아닌 정보통신부 장관으로부터 지정을 받아 공인인증 업무를 제공하는 "인증기관"이 발급한 인증서를 말합니다.,0
대출신용조회삭제,대출 신청 시 고객님의 신용도를 파악하기 위해서 신용조사를 하게 됩니다. 이 부분은 고객님의 동의하에 이루어진 부분이며 신용정보의이용및보호에관한법률에 따라 이루어지는 부분으로 임의적인 삭제는 불가능합니다.,0
애큐온저축은행,애큐온저축은행은 1972년 2월 3일 설립되었으며 상호저축은행 및 기타 저축기관입니다. 서울특별시 강남구 선릉로 514 성원타워에 본점 3층에 위치해있으며 대표번호는 1588-6161 입니다.,0
영업점 안내,강남금융센터(서울 강남구 선릉로 514 성원타워 3층)/강북금융센터(서울 중구 을지로 100 파인에비뉴B동 4층)/강서금융센터(서울 양천구 오목로 299 목통트라펠리스 웨스턴에비뉴 5층)/부산금융센터(부산 진구 중앙대로 708 부산파이낸스센터 7층).,0
영업점 위치,강남금융센터(서울 강남구 선릉로 514 성원타워 3층)/강북금융센터(서울 중구 을지로 100 파인에비뉴B동 4층)/강서금융센터(서울 양천구 오목로 299 목통트라펠리스 웨스턴에비뉴 5층)/부산금융센터(부산 진구 중앙대로 708 부산파이낸스센터 7층).,0
강남점 위치,강남금융센터(서울 강남구 선릉로 514 성원타워 3층).,0
강북점 위치,강남금융센터(서울 강남구 선릉로 514 성원타워 3층).,0
강서점 위치,강서금융센터(서울 양천구 오목로 299 목통트라펠리스 웨스턴에비뉴 5층).,0
부산점 위치,부산금융센터(부산 진구 중앙대로 708 부산파이낸스센터 7층).,0
대표번호,당행 고객센터 대표번호는 1588-6161 입니다.,0
고객센터 번호,당행 고객센터 대표번호는 1588-6161 입니다.,0
고객센터 연락처,당행 고객센터 대표번호는 1588-6161 입니다.,0
영업점 이용시간,평일 09:30 ~ 15:30 까지 입니다. 코로나19 확산방지를 위한 영업시간 단축을 하고 있으니 자세한 내용은 공지사항을 참고하여 주시기 바랍니다.,0
이용시간,평일 09:30 ~ 15:30 까지 입니다. 코로나19 확산방지를 위한 영업시간 단축을 하고 있으니 자세한 내용은 공지사항을 참고하여 주시기 바랍니다.,0
고객센터,당행 대표번호 1588-6161로 문의하여 주시기 바랍니다. 평일 09:00~17:30 까지 입니다.,0
모바일자유예금의 우대금리등 적용조건은 어떻게되나요?,1. 기존 멤버십 고객 및 계좌 신규 시 멤버십 가입 고객(익월 부터 우대금리 0.1% 적용) 2. 계좌 신규 가입 이후 멤버십 가입고객(멤버십 가입 후 1개월이 지난 달의 익월부터 우대금리 0.1% 적용).,0
모바일자유예금의 이자지급일은 어떻게 되나요?,분기 별 이자를 결산기준일에 결산하여 세금 공제 후 원금에 가산되며 결산기준일 3,6,9,12월의 세번째 금요일 (결산기준일이 휴일인경우 직접영업일)에 지급 됩니다.,0
다모아자유적금의 불입방법 등 거래조건확인은 어떻게 하나요?,잔액모으기 서비스는 다른 금융사에 자투리 잔액들을 모아 애큐온저축은행의 입출금 또는 적금 계좌에서 한번에 관리 할 수 있도록 만든 편리한 서비스 입니다. 한번에 최대 5개 입출금 계좌의 잔액을 모을 수 있습니다.,0
다모아자유적금의 우대금리등 적용조건은 어떻게 되나요?,만기 전 해지 예상 조회시 기본금리에 대한 예상 조회만 가능하며, 만기시 우대금리 제공 실적 요건 충족여부를 반영하여 기본금리와 함께 제공하게 됩니다.,0
애큐온저축은행의 인증서 부분은 어떻게 되나요?,모바일뱅킹은 사설인증 기반의 모바일인증비밀번호/패턴/생체인증(지원 폰에 한하여 지문/FACE/홍채 등)을 통해 가능하며 추가로 공동인증서/금융인증서/간편(민간)인증서로 이용 가능합니다. 인터넷뱅킹은 공동인증서, 금융인증서로 이용 가능합니다.,0
20.12.10일 전자서명법 개정 이 후 변화는 무엇인가요?,전자서명법 개정으로 공인인증서라는 명칭 대신 공동인증서로 사용하게 됩니다. 이유는 다양한 전자서명수단들이 차별없이 경쟁할 수 있도록 여건을 조성하고 다양한 사설인증서가 출시되고 이용 될 수 있도록 함에 있습니다.,0
인터넷뱅킹을 직장과 집에서 같이 사용하려면?,기 발급된 인증서를 복사하여 이용하시면 됩니다. 복사가 아닌 인증서 재발급 시에는 기존에 발급받은 인증서는 이용할 수 없습니다.,0
모바일앱 회원 탈퇴를 하고싶어요.,모바일앱 회원 탈퇴는 당행 모바일뱅킹 설정>서비스해지>회원탈퇴 메뉴를 통해 가능하며, 회원탈퇴후 이용을 하시려면 재가입이 필요합니다.,0
앱을 삭제하면 다시 회원가입 해야 하나요?,네. 모바일앱 삭제 시 등록된 모바일인증비밀번호 및 사설(생체)인증 정보도 삭제 되기 때문에 재가입을 하셔야합니다.,0
모바일 간편보안이 무엇인가요?,보안매체(OTP/M-OTP/보안카드)없이 애큐온저축은행 모바일뱅킹을 편리하게 이용 할 수 있는 서비스 입니다. 모바일 간편보안 가입시 기존에 사용하던 보안매체는 사용이 불가하며 이체한도는 1천만원(1회)/5천만원(1일)로 변경됩니다. 인터넷뱅킹은 이용이 불가하며 공동인증서로 로그인시 모바일간편보안 이용이 불가합니다.,0
로그인은 어떻게 하나요?,모바일뱅킹은 사설인증 기반의 모바일인증비밀번호/패턴/생체인증(지원 폰에 한하여 지문/FACE/홍채 등)을 통해 가능하며 추가로 공동인증서/금융인증서/바이오인증공동앱으로 이용 가능합니다. 인터넷뱅킹은 공동인증서/금융인증서로 이용 가능합니다.,0
로그인방식을 변경하고 싶어요,기존에 패턴 외에 생체정보 등록이 되어 있을 경우에는 앱 실행 후 로그인 화면에서 로그인 방식 선택 또는 로그인 후 환경설정에서 로그인 방식 변경을 할 수 있습니다. 전체메뉴 > 설정 > 환경설정 > 스마트폰 관리 > 로그인 방식,0




